,state,customer_lifetime_value,response,coverage,education,effective_to_date,employmentstatus,gender,income,location_code,marital_status,monthly_premium_auto,months_since_last_claim,months_since_policy_inception,number_of_open_complaints,number_of_policies,policy_type,policy,renew_offer_type,sales_channel,total_claim_amount,vehicle_class,vehicle_size,vehicle_type,month,year
4573,Oregon,4882,No,Extended,College,2011-02-26,Unemployed,F,0,Suburban,Single,135,0.0,86,0.0,1,Personal Auto,Personal L1,Offer2,Agent,648,SUV,Medsize,Manual,February,2011
4574,Oregon,3810,No,Premium,High School or Below,2011-02-13,Unemployed,M,0,Suburban,Single,108,7.0,57,0.0,1,Personal Auto,Personal L2,Offer2,Branch,778,Four-Door Car,Medsize,Manual,February,2011
4575,California,2805,No,Basic,High School or Below,2011-01-14,Employed,M,98859,Suburban,Divorced,70,3.0,57,0.0,1,Personal Auto,Personal L1,Offer4,Web,504,Four-Door Car,Small,Manual,January,2011
4576,Oregon,2728,No,Extended,College,2011-01-04,Unemployed,M,0,Suburban,Single,78,10.0,5,0.0,1,Personal Auto,Personal L3,Offer1,Call Center,374,Four-Door Car,Medsize,Automatic,January,2011
4577,Arizona,5721,No,Basic,College,2011-02-11,Employed,M,41770,Suburban,Married,72,0.0,60,0.0,9,Personal Auto,Personal L1,Offer2,Branch,476,Four-Door Car,Small,Manual,February,2011
4578,Oregon,3591,No,Extended,Bachelor,2011-01-23,Unemployed,M,0,Suburban,Married,96,5.0,35,0.0,1,Personal Auto,Personal L3,Offer4,Web,461,Four-Door Car,Medsize,Manual,January,2011
4579,Arizona,14635,Yes,Extended,Bachelor,2011-02-27,Unemployed,F,0,Suburban,Divorced,139,5.0,56,0.0,2,Personal Auto,Personal L3,Offer1,Call Center,667,SUV,Medsize,Manual,February,2011
4580,California,5389,Yes,Extended,College,2011-01-07,Employed,M,66429,Rural,Married,136,35.0,93,0.0,1,Corporate Auto,Corporate L3,Offer2,Agent,58,Sports Car,Medsize,Automatic,January,2011
4581,Arizona,4881,No,Basic,Bachelor,2011-02-09,Employed,M,90892,Rural,Married,61,1.0,31,0.0,6,Personal Auto,Personal L2,Offer2,Branch,102,Two-Door Car,Medsize,Manual,February,2011
4582,Washington,2931,No,Basic,College,2011-01-31,Employed,M,33663,Suburban,Married,73,15.0,71,0.0,1,Personal Auto,Personal L3,Offer3,Web,350,Four-Door Car,Medsize,Automatic,January,2011
4583,Oregon,4143,No,Premium,High School or Below,2011-01-25,Employed,F,48263,Suburban,Married,104,2.0,32,0.0,1,Personal Auto,Personal L3,Offer2,Branch,675,Two-Door Car,Small,Manual,January,2011
4584,Oregon,8507,No,Basic,High School or Below,2011-01-24,Employed,M,46754,Suburban,Married,106,5.0,70,1.0,9,Personal Auto,Personal L3,Offer3,Web,514,SUV,Medsize,Manual,January,2011
4585,Arizona,7737,No,Extended,College,2011-01-18,Employed,M,68980,Urban,Divorced,98,25.0,87,0.0,7,Personal Auto,Personal L2,Offer1,Agent,464,Four-Door Car,Medsize,Automatic,January,2011
4586,California,9095,No,Premium,High School or Below,2011-01-19,Employed,F,65103,Suburban,Married,115,29.0,41,4.0,3,Personal Auto,Personal L3,Offer2,Branch,552,Four-Door Car,Small,Manual,January,2011
4587,Oregon,6797,No,Basic,College,2011-01-19,Medical Leave,M,17937,Suburban,Single,65,1.0,27,0.0,2,Personal Auto,Personal L3,Offer1,Branch,312,Two-Door Car,Medsize,Manual,January,2011
4588,California,10351,No,Extended,College,2011-01-07,Employed,F,73895,Suburban,Married,129,2.0,31,0.0,7,Corporate Auto,Corporate L1,Offer4,Branch,825,SUV,Medsize,Automatic,January,2011
4589,Nevada,8112,No,Basic,High School or Below,2011-02-21,Employed,M,30622,Suburban,Married,68,22.0,86,0.0,2,Corporate Auto,Corporate L3,Offer1,Agent,326,Four-Door Car,Small,Manual,February,2011
4590,California,4645,No,Basic,College,2011-01-06,Unemployed,F,0,Rural,Married,63,0.0,42,0.0,3,Personal Auto,Personal L3,Offer1,Agent,95,Four-Door Car,Medsize,Automatic,January,2011
4591,Nevada,2888,No,Basic,High School or Below,2011-02-15,Employed,F,62018,Urban,Married,71,21.0,0,0.0,1,Personal Auto,Personal L1,Offer4,Branch,294,Two-Door Car,Medsize,Manual,February,2011
4592,Washington,6014,No,Extended,College,2011-01-10,Medical Leave,M,25646,Urban,Married,83,14.0,92,1.0,3,Personal Auto,Personal L2,Offer4,Call Center,378,Four-Door Car,Medsize,Automatic,January,2011
4593,Arizona,12299,Yes,Basic,High School or Below,2011-02-20,Medical Leave,M,17101,Suburban,Single,113,1.0,88,0.0,2,Special Auto,Special L3,Offer1,Call Center,542,SUV,Medsize,Manual,February,2011
4594,Oregon,8371,No,Basic,Bachelor,2011-01-28,Employed,F,33409,Suburban,Married,105,4.0,17,0.0,7,Personal Auto,Personal L3,Offer1,Agent,554,SUV,Medsize,Automatic,January,2011
4595,California,3674,No,Extended,Bachelor,2011-01-31,Employed,M,41185,Urban,Married,99,20.0,6,4.0,1,Special Auto,Special L3,Offer2,Agent,364,Four-Door Car,Medsize,Automatic,January,2011
4596,California,9031,Yes,Extended,Master,2011-02-23,Unemployed,F,0,Suburban,Single,122,15.0,47,0.0,9,Corporate Auto,Corporate L2,Offer1,Branch,651,Sports Car,Medsize,Manual,February,2011
4597,Oregon,7498,No,Extended,High School or Below,2011-01-09,Employed,M,31134,Suburban,Married,96,24.0,16,0.0,6,Personal Auto,Personal L2,Offer3,Call Center,667,Four-Door Car,Medsize,Manual,January,2011
4598,Oregon,3776,No,Extended,Doctor,2011-02-12,Medical Leave,M,20101,Urban,Married,96,28.0,44,0.0,1,Corporate Auto,Corporate L2,Offer2,Agent,292,Four-Door Car,Medsize,Manual,February,2011
4599,Arizona,3184,No,Extended,Bachelor,2011-02-21,Employed,M,50989,Urban,Married,80,3.0,11,0.0,1,Corporate Auto,Corporate L3,Offer2,Agent,256,Four-Door Car,Medsize,Automatic,February,2011
4600,Arizona,7441,No,Basic,College,2011-02-12,Employed,F,91915,Rural,Divorced,186,0.0,91,0.0,1,Personal Auto,Personal L3,Offer1,Call Center,94,Luxury Car,Medsize,Manual,February,2011
4601,California,17087,No,Basic,College,2011-02-09,Employed,M,26334,Suburban,Married,63,3.0,73,2.0,2,Corporate Auto,Corporate L1,Offer2,Branch,454,Two-Door Car,Small,Manual,February,2011
4602,Nevada,5990,Yes,Premium,College,2011-01-19,Employed,M,66839,Suburban,Single,154,33.0,24,0.0,1,Personal Auto,Personal L2,Offer2,Branch,739,Sports Car,Medsize,Automatic,January,2011
4603,California,2860,No,Extended,College,2011-01-23,Employed,M,45587,Urban,Divorced,81,8.0,49,5.0,1,Personal Auto,Personal L3,Offer3,Agent,381,Four-Door Car,Medsize,Automatic,January,2011
4604,Oregon,5431,No,Basic,College,2011-02-19,Employed,M,57125,Suburban,Divorced,68,13.0,99,0.0,3,Corporate Auto,Corporate L1,Offer1,Agent,326,Four-Door Car,Small,Automatic,February,2011
4605,California,8057,No,Basic,Bachelor,2011-02-02,Employed,F,64304,Rural,Divorced,68,35.0,70,0.0,2,Corporate Auto,Corporate L2,Offer3,Web,65,Two-Door Car,Medsize,Manual,February,2011
4606,California,4470,No,Extended,College,2011-01-23,Unemployed,F,0,Suburban,Single,129,2.0,72,0.0,1,Personal Auto,Personal L2,Offer4,Web,929,SUV,Medsize,Manual,January,2011
4607,California,7276,No,Basic,Bachelor,2011-01-27,Unemployed,M,0,Suburban,Single,106,24.0,77,0.0,6,Personal Auto,Personal L2,Offer1,Call Center,1248,SUV,Large,Manual,January,2011
4608,Arizona,4210,No,Basic,Bachelor,2011-02-24,Employed,F,57933,Suburban,Married,105,10.0,64,0.0,1,Personal Auto,Personal L3,Offer1,Call Center,533,SUV,Small,Automatic,February,2011
4609,Nevada,6503,No,Extended,High School or Below,2011-02-01,Employed,M,46298,Rural,Divorced,88,11.0,82,3.0,4,Corporate Auto,Corporate L1,Offer1,Agent,128,Four-Door Car,Medsize,Manual,February,2011
4610,California,3755,No,Extended,High School or Below,2011-02-24,Employed,M,34624,Urban,Married,95,28.0,66,0.0,1,Personal Auto,Personal L3,Offer2,Call Center,270,Four-Door Car,Medsize,Automatic,February,2011
4611,California,2425,No,Basic,Master,2011-01-29,Employed,M,49008,Suburban,Married,61,11.0,74,1.0,1,Personal Auto,Personal L1,Offer1,Branch,293,Four-Door Car,Medsize,Automatic,January,2011
4612,Oregon,3087,No,Extended,High School or Below,2011-01-23,Employed,F,92147,Urban,Married,77,25.0,27,2.0,1,Personal Auto,Personal L2,Offer1,Agent,278,Four-Door Car,Medsize,Automatic,January,2011
4613,California,35186,No,Extended,Bachelor,2011-02-26,Employed,F,86134,Rural,Divorced,98,17.0,78,0.0,2,Corporate Auto,Corporate L3,Offer1,Agent,3,Two-Door Car,Small,Manual,February,2011
4614,California,3670,No,Extended,Bachelor,2011-02-22,Unemployed,F,0,Urban,Married,95,22.0,17,0.0,1,Personal Auto,Personal L2,Offer3,Agent,430,Four-Door Car,Medsize,Manual,February,2011
4615,California,30746,No,Premium,High School or Below,2011-01-26,Unemployed,M,0,Suburban,Single,110,27.0,89,0.0,2,Personal Auto,Personal L2,Offer1,Call Center,1005,Four-Door Car,Medsize,Automatic,January,2011
4616,Oregon,9085,No,Extended,Bachelor,2011-01-27,Unemployed,F,0,Rural,Married,82,14.0,27,2.0,2,Personal Auto,Personal L3,Offer3,Agent,147,Four-Door Car,Large,Manual,January,2011
4617,Oregon,2848,No,Basic,High School or Below,2011-01-31,Employed,F,96357,Urban,Married,71,4.0,69,1.0,1,Personal Auto,Personal L3,Offer2,Branch,238,Four-Door Car,Medsize,Manual,January,2011
4618,Oregon,2619,Yes,Basic,Bachelor,2011-02-05,Employed,M,78618,Urban,Divorced,66,7.0,56,0.0,1,Personal Auto,Personal L3,Offer1,Agent,226,Two-Door Car,Medsize,Manual,February,2011
4619,California,3658,No,Extended,Bachelor,2011-02-02,Employed,F,62650,Rural,Married,92,0.0,42,0.0,1,Personal Auto,Personal L2,Offer2,Branch,149,Four-Door Car,Large,Automatic,February,2011
4620,California,8711,No,Basic,College,2011-02-18,Employed,M,92606,Urban,Married,109,26.0,75,0.0,3,Special Auto,Special L3,Offer2,Branch,287,SUV,Medsize,Automatic,February,2011
4621,Washington,4313,No,Basic,College,2011-01-30,Employed,M,43386,Urban,Single,111,17.0,35,0.0,1,Personal Auto,Personal L1,Offer1,Call Center,413,SUV,Medsize,Manual,January,2011
4622,California,6090,No,Extended,College,2011-01-16,Employed,M,70892,Urban,Married,76,21.0,32,0.0,5,Corporate Auto,Corporate L1,Offer2,Call Center,207,Two-Door Car,Medsize,Automatic,January,2011
4623,Oregon,12105,No,Basic,College,2011-02-06,Employed,M,33345,Suburban,Divorced,102,34.0,37,0.0,2,Personal Auto,Personal L3,Offer2,Call Center,694,SUV,Medsize,Manual,February,2011
4624,Oregon,6475,No,Extended,High School or Below,2011-01-13,Unemployed,F,0,Suburban,Single,91,21.0,23,0.0,3,Personal Auto,Personal L2,Offer3,Call Center,437,Four-Door Car,Medsize,Manual,January,2011
4625,Oregon,30966,No,Basic,Bachelor,2011-01-01,Unemployed,M,0,Suburban,Married,109,18.0,2,0.0,2,Personal Auto,Personal L1,Offer3,Branch,691,SUV,Small,Automatic,January,2011
4626,Oregon,6064,No,Extended,High School or Below,2011-01-16,Unemployed,F,0,Suburban,Single,86,34.0,80,0.0,5,Personal Auto,Personal L3,Offer1,Call Center,545,Four-Door Car,Medsize,Automatic,January,2011
4627,California,5244,No,Basic,Master,2011-01-30,Employed,F,44851,Suburban,Divorced,66,15.0,51,0.0,3,Corporate Auto,Corporate L2,Offer3,Web,440,Four-Door Car,Medsize,Manual,January,2011
4628,Oregon,5246,Yes,Basic,Bachelor,2011-01-21,Employed,F,28909,Suburban,Married,66,15.0,66,0.0,8,Corporate Auto,Corporate L2,Offer1,Agent,457,Two-Door Car,Medsize,Manual,January,2011
4629,Arizona,5431,No,Basic,College,2011-02-04,Employed,F,58161,Rural,Married,68,19.0,19,0.0,5,Corporate Auto,Corporate L2,Offer2,Call Center,141,Four-Door Car,Large,Manual,February,2011
4630,Washington,27000,No,Premium,Master,2011-01-09,Unemployed,M,0,Suburban,Divorced,104,33.0,19,0.0,2,Personal Auto,Personal L2,Offer3,Branch,623,Four-Door Car,Medsize,Manual,January,2011
4631,Arizona,5847,No,Basic,High School or Below,2011-01-19,Employed,F,50320,Urban,Married,73,24.0,6,0.0,5,Personal Auto,Personal L2,Offer4,Call Center,298,Four-Door Car,Medsize,Automatic,January,2011
4632,California,8382,Yes,Basic,Bachelor,2011-01-27,Employed,M,25998,Suburban,Married,71,16.0,38,0.0,2,Personal Auto,Personal L3,Offer2,Call Center,792,Four-Door Car,Medsize,Manual,January,2011
4633,Oregon,6739,No,Extended,High School or Below,2011-01-18,Unemployed,M,0,Suburban,Single,96,16.0,43,0.0,7,Personal Auto,Personal L3,Offer1,Agent,1012,Four-Door Car,Small,Automatic,January,2011
4634,Oregon,4028,No,Basic,High School or Below,2011-02-10,Employed,M,27782,Suburban,Married,103,20.0,54,0.0,1,Personal Auto,Personal L3,Offer2,Agent,517,SUV,Small,Manual,February,2011
4635,California,2664,No,Basic,High School or Below,2011-01-07,Employed,F,82887,Suburban,Married,66,22.0,4,1.0,1,Corporate Auto,Corporate L3,Offer3,Agent,420,Four-Door Car,Small,Manual,January,2011
4636,Oregon,3044,No,Extended,High School or Below,2011-02-15,Employed,M,24475,Suburban,Single,84,11.0,55,3.0,1,Personal Auto,Personal L3,Offer2,Call Center,605,Four-Door Car,Medsize,Manual,February,2011
4637,Arizona,2434,No,Basic,Bachelor,2011-02-27,Employed,F,23033,Suburban,Married,62,5.0,9,0.0,1,Personal Auto,Personal L3,Offer3,Web,501,Two-Door Car,Small,Automatic,February,2011
4638,California,5319,Yes,Basic,Bachelor,2011-01-12,Employed,F,25134,Suburban,Married,67,3.0,0,0.0,6,Corporate Auto,Corporate L2,Offer2,Call Center,322,Four-Door Car,Small,Manual,January,2011
4639,California,7927,No,Basic,College,2011-01-11,Employed,M,32555,Rural,Married,68,32.0,72,0.0,2,Personal Auto,Personal L1,Offer3,Call Center,87,Two-Door Car,Medsize,Automatic,January,2011
4640,California,4723,No,Basic,Bachelor,2011-02-05,Employed,F,29193,Suburban,Married,61,15.0,47,0.0,9,Corporate Auto,Corporate L3,Offer3,Branch,293,Four-Door Car,Medsize,Automatic,February,2011
4641,Oregon,7532,No,Basic,High School or Below,2011-01-10,Employed,M,82157,Suburban,Single,188,5.0,33,0.0,1,Corporate Auto,Corporate L3,Offer4,Agent,1354,Luxury Car,Medsize,Automatic,January,2011
4642,Nevada,2559,No,Basic,High School or Below,2011-01-11,Unemployed,M,0,Suburban,Single,72,4.0,14,0.0,1,Corporate Auto,Corporate L3,Offer2,Agent,518,Four-Door Car,Medsize,Manual,January,2011
4643,California,5477,No,Basic,College,2011-02-28,Medical Leave,F,21289,Suburban,Married,71,15.0,98,0.0,3,Corporate Auto,Corporate L2,Offer2,Branch,341,Four-Door Car,Large,Automatic,February,2011
4644,California,10419,No,Extended,Bachelor,2011-01-16,Employed,F,80192,Rural,Married,129,8.0,69,0.0,9,Personal Auto,Personal L1,Offer3,Call Center,201,SUV,Large,Automatic,January,2011
4645,Arizona,2280,No,Basic,Bachelor,2011-02-12,Unemployed,F,0,Suburban,Single,64,9.0,95,0.0,1,Personal Auto,Personal L2,Offer1,Call Center,461,Four-Door Car,Medsize,Manual,February,2011
4646,Oregon,8293,No,Basic,College,2011-01-22,Employed,M,79632,Urban,Divorced,106,7.0,72,1.0,3,Personal Auto,Personal L3,Offer2,Branch,344,SUV,Medsize,Manual,January,2011
4647,Oregon,3387,No,Extended,High School or Below,2011-01-20,Employed,F,73268,Rural,Married,84,18.0,18,0.0,1,Personal Auto,Personal L3,Offer3,Agent,94,Four-Door Car,Medsize,Manual,January,2011
4648,California,2660,Yes,Extended,College,2011-02-19,Unemployed,F,0,Suburban,Divorced,87,4.0,4,3.0,1,Personal Auto,Personal L1,Offer2,Agent,420,Four-Door Car,Medsize,Automatic,February,2011
4649,Oregon,12324,No,Premium,High School or Below,2011-01-11,Unemployed,F,0,Suburban,Single,113,5.0,90,0.0,2,Personal Auto,Personal L2,Offer2,Branch,814,Four-Door Car,Medsize,Manual,January,2011
4650,Oregon,8313,No,Basic,Bachelor,2011-01-03,Retired,M,21442,Suburban,Divorced,118,32.0,84,0.0,3,Personal Auto,Personal L3,Offer2,Web,566,SUV,Medsize,Manual,January,2011
4651,Arizona,11829,No,Basic,College,2011-02-27,Unemployed,F,0,Suburban,Single,111,4.0,8,0.0,2,Personal Auto,Personal L3,Offer2,Call Center,1019,SUV,Medsize,Automatic,February,2011
4652,Washington,31642,No,Extended,College,2011-01-22,Employed,M,89057,Rural,Married,98,17.0,90,0.0,2,Corporate Auto,Corporate L2,Offer1,Call Center,187,Two-Door Car,Medsize,Manual,January,2011
4653,Oregon,7714,No,Basic,High School or Below,2011-01-06,Unemployed,F,0,Suburban,Married,68,2.0,33,0.0,2,Personal Auto,Personal L2,Offer2,Agent,326,Four-Door Car,Medsize,Automatic,January,2011
4654,Oregon,5898,No,Basic,High School or Below,2011-02-20,Employed,F,77835,Rural,Divorced,74,2.0,30,1.0,4,Personal Auto,Personal L3,Offer3,Web,44,Four-Door Car,Medsize,Manual,February,2011
4655,Arizona,2522,No,Basic,Master,2011-01-08,Unemployed,F,0,Suburban,Married,69,18.0,64,1.0,1,Corporate Auto,Corporate L2,Offer4,Call Center,470,Four-Door Car,Small,Automatic,January,2011
4656,Washington,20497,No,Basic,High School or Below,2011-01-27,Unemployed,F,0,Suburban,Single,64,10.0,72,0.0,2,Personal Auto,Personal L2,Offer1,Branch,307,Four-Door Car,Medsize,Manual,January,2011
4657,Arizona,2418,No,Basic,Master,2011-02-26,Employed,F,20200,Suburban,Single,65,3.0,51,3.0,1,Personal Auto,Personal L3,Offer2,Agent,312,Two-Door Car,Medsize,Automatic,February,2011
4658,California,5887,No,Extended,High School or Below,2011-01-23,Unemployed,F,0,Suburban,Single,81,21.0,37,0.0,4,Personal Auto,Personal L2,Offer1,Branch,583,Four-Door Car,Small,Manual,January,2011
4659,California,8461,No,Basic,High School or Below,2011-01-02,Unemployed,F,0,Suburban,Single,115,13.0,43,0.0,4,Personal Auto,Personal L3,Offer1,Agent,552,SUV,Large,Manual,January,2011
4660,California,14828,No,Basic,College,2011-02-08,Unemployed,F,0,Suburban,Married,68,31.0,69,2.0,2,Personal Auto,Personal L3,Offer2,Call Center,326,Two-Door Car,Medsize,Automatic,February,2011
4661,California,5180,No,Premium,College,2011-02-05,Unemployed,M,0,Suburban,Single,165,29.0,6,2.0,1,Personal Auto,Personal L2,Offer1,Agent,1188,SUV,Large,Automatic,February,2011
4662,Oregon,4927,No,Basic,Bachelor,2011-02-17,Unemployed,M,0,Suburban,Single,73,30.0,29,0.0,3,Personal Auto,Personal L1,Offer1,Agent,752,Four-Door Car,Small,Automatic,February,2011
4663,Arizona,3433,No,Extended,High School or Below,2011-01-26,Unemployed,M,0,Suburban,Married,95,16.0,28,0.0,1,Personal Auto,Personal L2,Offer4,Agent,456,Four-Door Car,Medsize,Manual,January,2011
4664,Arizona,3958,No,Basic,High School or Below,2011-02-23,Unemployed,F,0,Suburban,Married,101,29.0,12,0.0,1,Personal Auto,Personal L2,Offer1,Call Center,485,SUV,Small,Manual,February,2011
4665,Oregon,2762,No,Extended,High School or Below,2011-02-26,Unemployed,F,0,Suburban,Single,77,35.0,38,0.0,1,Personal Auto,Personal L1,Offer1,Branch,554,Four-Door Car,Small,Manual,February,2011
4666,Oregon,5202,No,Basic,High School or Below,2011-01-30,Unemployed,M,0,Suburban,Married,70,2.0,49,0.0,9,Personal Auto,Personal L3,Offer2,Agent,336,Four-Door Car,Large,Manual,January,2011
4667,California,4794,No,Basic,High School or Below,2011-01-23,Retired,M,20862,Suburban,Divorced,68,1.0,69,0.0,9,Personal Auto,Personal L3,Offer1,Agent,326,Four-Door Car,Small,Manual,January,2011
4668,Washington,3895,No,Extended,Bachelor,2011-01-04,Employed,F,59578,Urban,Married,98,1.0,50,1.0,1,Corporate Auto,Corporate L3,Offer1,Branch,404,Four-Door Car,Medsize,Manual,January,2011
4669,Nevada,2645,No,Basic,Bachelor,2011-01-01,Employed,M,54000,Suburban,Divorced,66,15.0,45,0.0,1,Corporate Auto,Corporate L1,Offer1,Call Center,374,Two-Door Car,Medsize,Manual,January,2011
4670,Oregon,8819,Yes,Basic,High School or Below,2011-01-10,Employed,M,99845,Suburban,Married,110,23.0,25,1.0,8,Corporate Auto,Corporate L2,Offer2,Branch,528,SUV,Medsize,Automatic,January,2011
4671,Oregon,7953,No,Basic,High School or Below,2011-02-05,Unemployed,M,0,Suburban,Single,118,0.0,67,0.0,8,Personal Auto,Personal L3,Offer1,Call Center,850,SUV,Medsize,Automatic,February,2011
4672,California,3168,No,Extended,Bachelor,2011-02-17,Employed,M,61638,Suburban,Divorced,82,3.0,55,2.0,1,Corporate Auto,Corporate L3,Offer2,Web,544,Four-Door Car,Medsize,Automatic,February,2011
4673,Oregon,3484,No,Extended,College,2011-01-02,Employed,F,42983,Suburban,Married,86,28.0,18,0.0,1,Personal Auto,Personal L3,Offer3,Call Center,413,Four-Door Car,Medsize,Manual,January,2011
4674,Nevada,7672,No,Extended,High School or Below,2011-02-05,Employed,F,62582,Suburban,Married,95,11.0,46,0.0,3,Personal Auto,Personal L3,Offer2,Branch,456,Four-Door Car,Small,Automatic,February,2011
4675,California,8093,No,Basic,High School or Below,2011-02-12,Unemployed,M,0,Suburban,Married,114,9.0,72,1.0,5,Personal Auto,Personal L1,Offer1,Agent,722,Sports Car,Medsize,Manual,February,2011
4676,California,2796,No,Basic,High School or Below,2011-01-09,Employed,M,69809,Rural,Married,70,0.0,60,0.0,1,Personal Auto,Personal L1,Offer2,Branch,112,Two-Door Car,Medsize,Manual,January,2011
4677,Oregon,3557,No,Extended,College,2011-01-04,Employed,F,39075,Rural,Married,89,22.0,50,0.0,1,Personal Auto,Personal L2,Offer1,Call Center,142,Two-Door Car,Medsize,Manual,January,2011
4678,California,7869,No,Basic,Bachelor,2011-02-17,Employed,F,40036,Rural,Married,65,2.0,85,0.0,2,Personal Auto,Personal L3,Offer1,Agent,49,Four-Door Car,Medsize,Automatic,February,2011
4679,Oregon,4035,No,Basic,College,2011-02-23,Unemployed,F,0,Suburban,Single,112,8.0,28,0.0,1,Special Auto,Special L3,Offer3,Branch,806,Sports Car,Medsize,Automatic,February,2011
4680,Oregon,6890,No,Extended,Bachelor,2011-02-17,Employed,F,30814,Suburban,Married,87,8.0,96,0.0,3,Personal Auto,Personal L1,Offer2,Branch,418,Four-Door Car,Medsize,Automatic,February,2011
4681,Arizona,9009,No,Premium,Doctor,2011-02-22,Employed,M,32260,Suburban,Married,113,8.0,99,0.0,4,Personal Auto,Personal L1,Offer1,Branch,601,Four-Door Car,Medsize,Automatic,February,2011
4682,California,3840,No,Basic,High School or Below,2011-02-13,Unemployed,F,0,Suburban,Single,106,29.0,38,0.0,1,Corporate Auto,Corporate L3,Offer4,Call Center,763,SUV,Small,Manual,February,2011
4683,Nevada,4768,No,Basic,Bachelor,2011-01-28,Unemployed,M,0,Suburban,Single,72,2.0,12,0.0,9,Corporate Auto,Corporate L1,Offer3,Call Center,346,Four-Door Car,Medsize,Manual,January,2011
4684,Nevada,7840,Yes,Extended,College,2011-01-14,Employed,M,58414,Suburban,Single,210,7.0,24,2.0,1,Personal Auto,Personal L1,Offer2,Agent,1008,Luxury SUV,Small,Automatic,January,2011
4685,California,6265,No,Extended,Bachelor,2011-02-18,Unemployed,M,0,Suburban,Single,89,15.0,16,0.0,3,Corporate Auto,Corporate L1,Offer1,Agent,850,Two-Door Car,Medsize,Manual,February,2011
4686,Oregon,15162,No,Extended,Master,2011-01-05,Employed,F,71366,Urban,Divorced,94,23.0,56,0.0,2,Personal Auto,Personal L2,Offer2,Call Center,265,Four-Door Car,Small,Manual,January,2011
4687,Nevada,5183,No,Basic,Master,2011-02-02,Employed,F,83527,Rural,Married,64,19.0,27,1.0,3,Personal Auto,Personal L1,Offer2,Branch,39,Two-Door Car,Large,Manual,February,2011
4688,Arizona,2772,No,Basic,Master,2011-01-09,Employed,F,79663,Urban,Divorced,69,14.0,39,0.0,1,Personal Auto,Personal L2,Offer3,Branch,264,Two-Door Car,Medsize,Manual,January,2011
4689,Arizona,4760,No,Basic,High School or Below,2011-02-07,Employed,M,26747,Suburban,Married,61,11.0,44,0.0,3,Corporate Auto,Corporate L2,Offer3,Web,404,Four-Door Car,Medsize,Automatic,February,2011
4690,California,13728,Yes,Extended,College,2011-01-08,Unemployed,M,0,Suburban,Single,126,12.0,4,0.0,2,Personal Auto,Personal L1,Offer1,Agent,605,SUV,Medsize,Automatic,January,2011
4691,Arizona,2863,No,Basic,Doctor,2011-02-21,Employed,F,64640,Urban,Divorced,73,5.0,94,2.0,1,Personal Auto,Personal L3,Offer3,Agent,328,Four-Door Car,Medsize,Automatic,February,2011
4692,Washington,15865,No,Extended,Master,2011-01-08,Employed,F,43946,Urban,Divorced,133,13.0,83,0.0,2,Corporate Auto,Corporate L2,Offer2,Call Center,416,Sports Car,Medsize,Manual,January,2011
4693,California,14134,No,Basic,Bachelor,2011-02-10,Employed,F,90844,Rural,Divorced,118,10.0,98,0.0,2,Personal Auto,Personal L3,Offer1,Agent,233,SUV,Medsize,Manual,February,2011
4694,Nevada,6832,No,Extended,College,2011-01-18,Employed,M,50472,Urban,Married,87,6.0,67,0.0,3,Corporate Auto,Corporate L3,Offer2,Web,281,Four-Door Car,Medsize,Automatic,January,2011
4695,Nevada,3877,No,Premium,High School or Below,2011-02-08,Unemployed,F,0,Suburban,Single,108,2.0,18,0.0,1,Personal Auto,Personal L2,Offer1,Agent,1099,Two-Door Car,Large,Automatic,February,2011
4696,California,9264,No,Premium,College,2011-02-03,Employed,M,69063,Suburban,Married,115,12.0,65,0.0,3,Personal Auto,Personal L1,Offer1,Branch,552,Two-Door Car,Small,Manual,February,2011
4697,California,7346,No,Extended,High School or Below,2011-01-29,Employed,M,79980,Suburban,Married,91,22.0,75,0.0,3,Personal Auto,Personal L3,Offer2,Web,630,Two-Door Car,Medsize,Automatic,January,2011
4698,California,5024,No,Basic,High School or Below,2011-01-18,Employed,F,91603,Suburban,Married,64,18.0,37,5.0,8,Personal Auto,Personal L2,Offer2,Web,307,Four-Door Car,Large,Automatic,January,2011
4699,California,13081,No,Basic,High School or Below,2011-02-16,Employed,M,89948,Rural,Divorced,110,17.0,53,1.0,2,Special Auto,Special L2,Offer2,Agent,125,Sports Car,Medsize,Manual,February,2011
4700,Arizona,14024,Yes,Premium,High School or Below,2011-02-19,Employed,F,81872,Rural,Married,115,10.0,55,0.0,2,Special Auto,Special L1,Offer2,Web,256,Four-Door Car,Medsize,Automatic,February,2011
4701,Oregon,5519,No,Basic,High School or Below,2011-01-15,Employed,M,50406,Rural,Divorced,70,20.0,23,0.0,9,Corporate Auto,Corporate L3,Offer1,Call Center,132,Four-Door Car,Medsize,Manual,January,2011
4702,Arizona,15114,Yes,Basic,High School or Below,2011-01-19,Medical Leave,F,28513,Suburban,Married,100,4.0,22,1.0,2,Personal Auto,Personal L1,Offer2,Call Center,480,SUV,Medsize,Automatic,January,2011
4703,Oregon,6161,No,Extended,College,2011-01-18,Employed,M,96988,Suburban,Single,77,1.0,60,0.0,3,Personal Auto,Personal L2,Offer1,Agent,370,Two-Door Car,Medsize,Automatic,January,2011
4704,Arizona,4965,No,Basic,College,2011-01-31,Employed,M,98451,Suburban,Married,62,19.0,57,0.0,3,Personal Auto,Personal L3,Offer4,Agent,317,Four-Door Car,Small,Manual,January,2011
